Datum : 	05.12.2013
Durchmesser :	69,2
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg Sollwert	Ch 1 Weg	Ch 1 W2TK Mittel	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 MTS Aufnehmer Mittel	1944 A	1944 B	2157
d	s	kN	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
41613	35,922852	-9,7819338	-10,08284	0	-0,059158355	-0,034437411	-0,025015924	-0,045501351	-0,032794952	-0,028129069	-0,0034059999	-0,0088436604	-0,0064052213
41613	36,022461	-9,9711914	-10,293273	0	-0,060719252	-0,035320941	-0,025888752	-0,046359301	-0,033714771	-0,02822886	-0,00353764	-0,0091106649	-0,0065085236
41613	36,12207	-10,160449	-10,470408	0	-0,061273016	-0,035957504	-0,026531961	-0,046926618	-0,034413934	-0,028259575	-0,0036098571	-0,0091482317	-0,0066510197
41613	36,22168	-10,349707	-10,644013	0	-0,062458776	-0,036597189	-0,027156346	-0,047508478	-0,035126746	-0,028385224	-0,0037507224	-0,0093702916	-0,0068104751
41613	36,321289	-10,538964	-10,833976	0	-0,06341543	-0,037153639	-0,027670672	-0,048046231	-0,035744011	-0,028444557	-0,0037941609	-0,0095251044	-0,0069549885
41613	36,420898	-10,728223	-11,099836	0	-0,064638071	-0,038139042	-0,028666487	-0,048952937	-0,036797702	-0,028597351	-0,0039510932	-0,0097333081	-0,0071127079
41613	36,520508	-10,91748	-11,363973	0	-0,065822154	-0,03901929	-0,029543586	-0,049740911	-0,037773371	-0,028708607	-0,0040703402	-0,010019983	-0,0073123947
41613	36,620117	-11,106738	-11,527917	0	-0,06730929	-0,039814956	-0,030386584	-0,050478458	-0,038579822	-0,028800687	-0,0042278534	-0,010137724	-0,007453965
41613	36,719727	-11,295996	-11,736149	0	-0,068020448	-0,040442519	-0,030983424	-0,051044703	-0,039299428	-0,028900335	-0,0042817909	-0,010313337	-0,0076298956
41613	36,819336	-11,485253	-12,006759	0	-0,069398805	-0,041400041	-0,031943697	-0,051909804	-0,040346622	-0,029007779	-0,0044735838	-0,01054694	-0,0078237243
41613	36,918945	-11,674512	-12,164464	0	-0,070584752	-0,042087886	-0,032641452	-0,052509904	-0,041112304	-0,029080626	-0,0044508828	-0,010720478	-0,0078966394
41613	37,018555	-11,86377	-12,328978	0	-0,071470439	-0,042683709	-0,033220492	-0,053060174	-0,041770458	-0,029129213	-0,0045810603	-0,010773038	-0,0080546588
41613	37,118164	-12,053027	-12,521961	0	-0,072389655	-0,043245461	-0,033768076	-0,053569078	-0,042399228	-0,029250897	-0,0047660237	-0,010962991	-0,0082519595
41613	37,217773	-12,242285	-12,629328	0	-0,072971545	-0,043844435	-0,034372374	-0,054138184	-0,043022752	-0,029292226	-0,0048192432	-0,01103799	-0,0083218683
41613	37,317383	-12,431542	-12,763163	0	-0,073440932	-0,044244319	-0,034751441	-0,054461002	-0,04352051	-0,029382546	-0,0048710769	-0,011219559	-0,0084545836
41613	37,416992	-12,620801	-13,016749	0	-0,075315498	-0,045146544	-0,035649709	-0,055334806	-0,044455111	-0,029518347	-0,0050214068	-0,011389248	-0,0085782614
41613	37,516602	-12,810059	-13,140376	0	-0,075293705	-0,045565773	-0,036075026	-0,05570662	-0,044915676	-0,029551627	-0,0051299101	-0,011448486	-0,0087838806
41613	37,616211	-12,999316	-13,296545	0	-0,076496415	-0,046092704	-0,036577806	-0,056180835	-0,045519471	-0,029642355	-0,0052246414	-0,01163333	-0,0088322386
41613	37,71582	-13,188574	-13,471096	0	-0,077308342	-0,046688691	-0,037172664	-0,056706429	-0,046186984	-0,029733991	-0,0052963644	-0,011813649	-0,0089538973
41613	37,81543	-13,377831	-13,657957	0	-0,078017451	-0,047351573	-0,037820201	-0,057356238	-0,046878278	-0,029774159	-0,0053900117	-0,011899984	-0,0090971291
41613	37,915039	-13,56709	-13,918642	0	-0,079273991	-0,048159182	-0,038664881	-0,058067203	-0,047745466	-0,029933132	-0,0056232503	-0,012146128	-0,0093241427
41613	38,014648	-13,756348	-14,05114	0	-0,08000154	-0,048734389	-0,039233156	-0,05858922	-0,048380792	-0,029967215	-0,0055934973	-0,012276897	-0,0094358437
41613	38,114258	-13,945605	-14,198866	0	-0,080937706	-0,049235035	-0,03971675	-0,059065461	-0,048922896	-0,030061537	-0,0057206769	-0,012364367	-0,0095373373
